Visit_ID,Species,Sex,Detection,Distance_class,Behavior,Time_left_min,Time_left_sec,Comments,Period
TR614_07_2012-05-09,WHWO,U,A,ovr_150,C,0,32,,DU
TR614_08_2013-05-14,WHWO,M,A,0_50,C P,4,30,CALLED BEFORE WE COULD PLAY THE CALLBACK  AND PERCHED ON A TREE 20M AWAY.,DU
TR615_01_2012-05-02,WHWO,U,A,0_50,D,1,0,,DU
TR615_01_2015-05-19,WHWO,M,V,0_50,F,2,15,,DU
TR615_08_2012-05-31,WHWO,M,A,0_50,P,0,53,,DU
TR615_09_2012-05-31,WHWO,M,A,50_150,D,0,17,,DU
TR616_05_2011-06-06,WHWO,U,V,0_50,D,999,999,,DU
TR616_06_2011-06-06,WHWO,U,A,ovr_50,D,999,999,,DU
TR617_02_2015-06-16,WHWO,F,V,50_150,P,4,30,,DU
TR617_02_2015-06-16,WHWO,F,V,0_50,F,4,15,"SAME BIRD AS FIRST DETECTION, seen and heard before call started",DU
TR617_03_2011-05-11,WHWO,P,V,0_50,F,999,999,,DU
TR617_05_2011-05-11,WHWO,U,A,ovr_50,C,999,999,,DU
TR617_05_2012-05-07,WHWO,F,V,0_50,F,0,35,,DU
TR617_05_2014-05-24,WHWO,U,A,,C,,,saw 1 whwo between points 4&5. heard call then saw,TR
TR617_06_2011-06-09,WHWO,U,A,ovr_50,999,999,999,,DU
TR617_06_2015-05-20,WHWO,M,V,0_50,F,2,20,landed on center tree,DU
TR617_06_2015-06-16,WHWO,F,V,0_50,P,0,55,"didnt see red on head, but cant be certain",DU
TR617_07_2011-05-11,WHWO,P,V,0_50,C,999,999,,DU
TR617_07_2015-05-20,WHWO,U,A,ovr_150,C,3,0,,DU
TR617_08_2013-05-07,WHWO,U,A,50_150,D,4,1,"heard dumming far off, the bird came closer but always outside 150",DU
TR617_08_2014-05-23,WHWO,U,A,50_150,C,1,35,,DU
TR617_09_2011-06-09,WHWO,U,A,ovr_50,999,999,999,,DU
TR617_09_2012-06-13,WHWO,P,A,50_150,C D F,3,31,,DU
TR617_10_2011-05-11,WHWO,F,V,0_50,C,999,999,,DU
TR617_10_2011-06-06,WHWO,F,V,0_50,999,999,999,,DU
TR617_10_2011-06-09,WHWO,U,A,ovr_50,999,999,999,,DU
TR617_10_2013-05-07,WHWO,U,A,50_150,D,3,40,"drumming, did not locate the  bird",DU
TR617_10_2014-05-23,WHWO,U,A,50_150,C,0,50,,DU
TR617_10_2015-05-20,WHWO,U,A,50_150,C,3,52,,DU
TR618_01_2011-05-12,WHWO,F,A,ovr_50,C,999,999,,DU
TR618_01_2013-06-27,WHWO,P,V,0_50,P,3,20,FEMALE FLEW IN QUIETLY THEN FLEW TO THE NEST TREE,DU
TR618_01_2014-04-29,WHWO,P,V,0_50,F,2,22,,DU
TR618_02_2012-05-22,WHWO,M,A,50_150,F,1,2,,DU
TR618_10_2011-05-12,WHWO,M,A,ovr_50,D,999,999,,DU
TR618_10_2012-06-14,WHWO,U,A,0_50,C,4,30,,DU
TR618_10_2013-05-20,WHWO,U,V,0_50,F,0,36,FLEW RIGHT OVER US WITH NO AUDIO WHATSOEVER,DU
TR618_10_2013-06-27,WHWO,F,V,0_50,C,4,29,FEMALE CALLING BACK TO MALE,DU
TR619_01_2012-06-11,WHWO,U,A,50_150,C D,999,999,,DU
TR619_03_2015-05-13,WHWO,F,V,0_50,F,3,20,,DU
TR619_04_2012-06-11,WHWO,F,V,50_150,D,1,2,,DU
TR619_05_2012-06-11,WHWO,M,V,0_50,C D,1,18,,DU
TR619_05_2013-05-16,WHWO,P,A,0_50,C F,999,999,Male made a loud unusal call and was shedding feathers,DU
TR619_06_2013-05-16,WHWO,U,A,50_150,C D,999,999,"Heard WHWO, suspect bird seen at CP7",DU
TR619_07_2013-05-16,WHWO,P,A,0_50,C F,999,999,"Saw F, then male, Saw nest hole in broken top JUOC nw of CP7",DU
TR619_08_2014-06-19,WHWO,F,V,0_50,F,0,45,Found nest with 3 nestlings,DU
TR619_08_2014-06-19,WHWO,M,V,0_50,O,,,M on top of nestlings in nest,TR
TR619_09_2016-05-12,WHWO,U,A,50_150,C D,3,52,CONTINUED CALLING,DU
TR619_10_2016-05-12,WHWO,U,A,0_50,C,3,24,SAME Bird as point 9,DU
TR619_NA,WHWO,U,A,0_50,C,,,"Heard and saw in between pts, saw new nest hole in snag.",TR
TR619_NA,WHWO,M,A,50_150,D,,,"Saw WHWO after distant drumming, after time.",AF
TR620_01_2014-05-15,WHWO,F,V,0_50,P,0,30,On dead fir,DU
TR620_02_2013-06-21,WHWO,F,A,50_150,D F,1,0,"Saw WHWO preening feathers, etc.",DU
TR620_04_2015-05-21,WHWO,M,V,0_50,F FL,4,11,,DU
TR620_04_2015-05-21,WHWO,U,A,,C,,,Heard WHWO en route to CP4 and before call started.,TR
TR620_06_2016-06-03,WHWO,M,V,0_50,C P,2,0,Auditory Detection before call,DU
TR620_07_2013-05-31,WHWO,U,V,50_150,C,1,30,,DU
TR620_07_2014-05-15,WHWO,F,V,,FL,,,"detected F WHWO btwn pts 6 and 7, followed until it went over ridge, could not relocate after 15 mins",TR
TR620_08_2011-05-26,WHWO,U,A,0_50,C,999,999,,DU
TR620_08_2013-05-31,WHWO,F,A,0_50,C F,3,19,Also heard WHWO in riparian zone before calling,DU
TR620_09_2013-05-31,WHWO,M,A,0_50,D F,2,1,on small snag,DU
TR620_10_2011-06-14,WHWO,F,V,999,F,999,999,missing distance bin,DU
TR620_10_2013-05-31,WHWO,U,A,,C,,,Heard WHWO when walking out from CP10,TR
TR620_10_2013-06-21,WHWO,U,A,50_150,F,1,50,"Heard and saw WHWO- too far to see sex, would not sit still",DU
TR620_10_2016-06-03,WHWO,M,V,,FL,,,"MALE WHWO SPOTTED ENROUTE TO 10, POSS NEST, PIWO DR to S",TR
TR620_NA,WHWO,U,A,0_50,C,,,Heard and saw WHWO when walking,TR
TR621_01_2012-06-12,WHWO,M,V,0_50,P,2,0,,DU
TR621_01_2013-05-07,WHWO,U,A,999,C,,,Heard WHWO calling 4 min after stopping,AF
TR621_01_2013-06-04,WHWO,U,A,,C,,,Heard WHWO on walk into CP1,TR
TR621_02_2013-05-07,WHWO,U,A,ovr_150,C D,999,999,,DU
TR621_02_2014-05-20,WHWO,F,V,0_50,F,,,"detected WHWO btwn pts 2 and 3, tried to follow but it dissapeared, looked for about 20 min",TR
TR621_02_2015-06-09,WHWO,F,V,0_50,F P,2,12,sporadic foraging but mostly perched,DU
TR621_03_2011-06-13,WHWO,F,V,0_50,P,999,999,,DU
TR621_03_2013-05-07,WHWO,P,V,,C,,,Observed between points - on snag,TR
TR621_03_2016-06-22,WHWO,U,V,0_50,FL,0,30,,DU
TR621_04_2013-05-07,WHWO,U,A,50_150,C D,1,0,,DU
TR621_04_2015-06-09,WHWO,F,V,0_50,F,3,16,"flew in during call, stopped call, searched for snag in direction of flight for about 15 mins, unable to locate nest",DU
TR621_05_2012-05-16,WHWO,F,V,0_50,P,999,999,,DU
TR621_05_2013-05-07,WHWO,M,A,0_50,D,999,999,,DU
TR621_06_2013-05-07,WHWO,F,V,50_150,FL P,0,10,,DU
TR621_06_2013-06-05,WHWO,F,V,0_50,F,1,22,,DU
TR621_06_2014-05-20,WHWO,M,V,0_50,F,1,10,"followed for 10 min before it crossed meadow, was unable to relocate again, looked for 15 min",DU
TR621_06_2016-06-22,WHWO,P,A,0_50,F,2,33,ALSO VISUAL,DU
TR621_07_2011-05-25,WHWO,M,V,0_50,P,999,999,,DU
TR621_07_2013-05-07,WHWO,F,V,0_50,FL P,999,999,Saw two females during calling; Missing time remaining,DU
