ID,sci11_1040_1km,sci12_1040_1km,sci13_1040_1km,sci14_1040_1km,sci15_1040_1km,sci16_1040_1km,sci17_1040_1km,sci18_1040_1km,sci19_1040_1km,sci20_1040_1km,sci21_1040_1km,Thin0211,Thin0212,Thin0213,Thin0214,Thin0215,Thin0216,Thin0217,Thin0218,Thin0219,Thin0220,Thin0221,Thin0222,Thin0223
LKV-0480,41.5664406,41.302433,40.8330879,40.6277504,39.8943977,40.4224129,39.953064,39.8063965,39.8650627,40.4517441,57.4068642,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0481,54.9721336,53.6814308,53.0067482,52.420063,52.0387192,53.0067482,52.5080681,51.8627167,51.7747154,51.5987091,60.4869461,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0482,57.729538,57.3188629,57.1721916,57.1135216,56.6148415,56.3215027,56.6735115,56.1454964,55.6761513,55.7641525,61.7483139,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0483,52.6547356,52.3613968,51.8040466,51.4520378,50.6600189,51.3053665,51.9213829,51.2173653,50.6600189,49.8679962,52.8600769,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0484,45.9665604,44.9985352,43.4438248,42.0357895,40.7744217,42.5051346,42.3291283,41.0384293,39.7183914,38.2223511,38.8970375,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0485,58.4335594,57.1721916,55.9108238,54.209446,52.6547356,52.6840706,51.7747154,50.2493401,48.2839546,45.6438828,43.3264885,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0486,52.3907318,52.6254044,52.2733955,51.5400429,50.5426826,47.8146095,47.8439407,47.0812569,45.4385452,43.6491623,55.0014648,0,0,0.4106776,0.4106776,0.4106776,0.4106776,0.4106776,0.4106776,0.4106776,0.4106776,0.4106776,0.4106776,0.4106776
LKV-0487,52.5080681,53.7107658,53.2707558,53.388092,53.0067482,50.3960114,50.4840126,50.3960114,48.7532997,47.4332657,57.9348793,0,0,3.4907598,3.4907598,3.4907598,5.4268112,5.4268112,5.4268112,5.573482,5.573482,5.573482,5.573482,5.573482
LKV-0488,50.5133476,51.4227028,51.158699,51.1880302,51.6573792,49.779995,49.7213249,49.3399811,47.4919319,46.1425629,50.4840126,0,0,1.6720446,1.6720446,1.6720446,5.6908183,5.6908183,5.6908183,5.6908183,5.6908183,5.6908183,5.6908183,5.6908183
LKV-0489,39.3957176,40.3637428,41.2144318,42.0944557,42.5638008,42.6224709,43.0918159,43.561161,43.0918159,41.4197693,43.7371674,0,0,0,0.762687,2.1413903,6.5121737,6.5121737,6.5121737,6.5121737,6.5121737,6.5121737,6.5121737,6.5121737
LKV-0490,40.3344078,41.3904381,42.6224709,43.7371674,44.8225288,45.7318878,47.2572594,47.6386032,47.6386032,45.790554,43.4731598,0,0,0,0,3.3734233,5.778821,5.778821,5.778821,5.778821,5.778821,5.778821,5.778821,5.778821
LKV-0491,40.5104141,41.2731018,41.6837769,42.3877983,43.1504822,43.4438248,44.7051926,44.8225288,45.2625389,44.2945137,42.7104721,0,0,0,0,6.1894984,6.2188325,6.2188325,6.2188325,6.2188325,6.2188325,6.2188325,6.2188325,6.2188325
LKV-0492,38.4570236,39.1903801,39.5130539,39.9237328,40.041069,39.1903801,39.7477264,39.8063965,39.6890602,39.4250526,38.8383675,0,0,0,0,5.573482,5.573482,5.573482,5.573482,5.573482,5.573482,5.573482,5.573482,5.573482
LKV-0493,37.8410072,37.2543259,36.1982994,35.0249329,33.9982414,33.4408913,32.5608673,31.6808453,30.8888245,29.9501324,29.7154598,3.549428,3.549428,3.549428,3.549428,5.338809,5.338809,5.338809,5.338809,5.338809,5.338809,5.338809,5.338809,5.338809
LKV-0494,25.4033432,24.1419773,22.8219414,21.1498966,20.0352001,20.445879,19.8885307,18.8618355,18.0698147,17.5418015,17.1604576,24.1419773,24.1419773,24.1419773,24.1419773,24.1419773,24.1419773,24.1419773,24.1419773,24.1419773,24.1419773,24.1419773,24.1419773,24.1419773
